Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0_implicit,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.15,0.15,0.0979,0.0753,0.04199219626896348,64220.799999999996,False,0.03330780373103653,0.03330780373103653,0.0011094097893852507
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.15,0.15,0.0567,0.0436,0.02558374903154961,85276.79999999999,False,0.01801625096845039,0.01801625096845039,0.00032458529895818965
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.15,0.15,0.1231,0.0947,0.03573145906563346,69484.79999999999,False,0.05896854093436655,0.05896854093436655,0.003477288819928063
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.04848065464646089,93699.19999999998,False,0.04301934535353911,0.04301934535353911,0.0018506640746470669
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.15,0.15,0.0785,0.0604,0.041425210560062056,73696.0,False,0.018974789439937946,0.018974789439937946,0.0003600426342899806
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.15,0.15,0.157,0.1208,0.0,99771.2,False,0.1208,0.1208,0.01459264
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.15,0.15,0.0631,0.0485,0.0,120982.40000000001,False,0.0485,0.0485,0.00235225
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.15,0.15,0.119,0.0915,0.009303726054768788,145336.0,False,0.08219627394523121,0.08219627394523121,0.006756227450479496
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.15,0.15,0.097,0.0746,0.0,116268.8,False,0.0746,0.0746,0.0055651599999999996
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.15,0.15,0.0653,0.0502,0.0553307299831518,117054.4,False,-0.005130729983151797,0.005130729983151797,2.6324390160012836e-05
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.15,0.15,0.0567,0.0436,0.0,139836.8,False,0.0436,0.0436,0.00190096
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.15,0.15,0.119,0.0915,0.016472014100635774,134235.73333333334,False,0.07502798589936423,0.07502798589936423,0.005629198668115197
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.15,0.15,0.0849,0.0653,0.0,157613.86666666667,False,0.0653,0.0653,0.00426409
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.15,0.15,0.0469,0.0361,0.029540980588737872,144793.6,False,0.006559019411262128,0.006559019411262128,4.302073563731339e-05
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0333,0.0256,0.0,135743.99999999997,False,0.0256,0.0256,0.00065536
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.15,0.15,0.0681,0.0524,0.06180396994199466,147810.13333333333,False,-0.009403969941994661,0.009403969941994661,8.843465066993907e-05
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0619,0.0476,0.0,135743.99999999997,False,0.0476,0.0476,0.0022657600000000003
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.15,0.15,0.0932,0.0717,0.0,36719.200000000004,False,0.0717,0.0717,0.00514089
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.15,0.15,0.1282,0.0986,0.0,31141.6,False,0.0986,0.0986,0.009721959999999998
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.15,0.15,0.1154,0.0888,0.0,31141.6,False,0.0888,0.0888,0.00788544
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.15,0.15,0.0618,0.0475,0.0,25796.4,False,0.0475,0.0475,0.00225625
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.15,0.15,0.0137,0.0105,0.05391629658108535,28817.6,False,-0.04341629658108535,0.04341629658108535,0.0018849748088167631
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.15,0.15,0.1139,0.0876,0.0,27888.0,False,0.0876,0.0876,0.00767376
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.15,0.15,0.0497,0.0382,0.0,63771.6,False,0.0382,0.0382,0.0014592399999999999
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.15,0.15,0.0883,0.0679,0.0,58177.59999999999,False,0.0679,0.0679,0.0046104100000000005
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.15,0.15,0.1123,0.0864,0.0010961468055476061,69925.0,False,0.0853038531944524,0.0853038531944524,0.007276747369820686
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.15,0.15,0.0724,0.0557,0.0,59296.399999999994,False,0.0557,0.0557,0.00310249
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.15,0.15,0.0555,0.0427,0.043030182843181476,60415.2,False,-0.00033018284318147434,0.00033018284318147434,1.0902070993140207e-07
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.15,0.15,0.0094,0.0072,0.0,74400.19999999998,False,0.0072,0.0072,5.184e-05
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.09,0.0279,0.000104,0.15,0.15,0.125,0.1,0.1,0.0,True,0.0,0.0,0.0
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.98,-0.0169,5.7e-05,0.15,0.15,0.05,0.04,0.04,0.0,True,0.0,0.0,0.0
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.15,0.15,0.119,0.0915,0.09306814070648912,116975.4,False,-0.0015681407064891267,0.0015681407064891267,2.4590652753482176e-06
14_J_2_Day_1_LT,14,LC,J,I,Day_1,Neap,LT,62.89,0.98,-0.0169,5.7e-05,0.15,0.15,0.0469,0.0361,0.0,70856.06666666667,False,0.0361,0.0361,0.00130321
