Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
8_C_2_Day_1_LT,8,CPC,C,Dutch_Canal,Day_1,Neap,LT,0.0,0.68,-0.0155,3.6e-05,0.15,0.15,0.082,0.063,0.063,0.0,True,0.0,0.0,0.0
8_D_2_Day_1_HT,8,CPC,D,C,Day_1,Neap,HT,50.78,0.73,0.013,3.2e-05,0.15,0.15,0.0469,0.0361,0.02927615676503558,44009.33333333333,False,0.006823843234964419,0.006823843234964419,4.6564836495369666e-05
8_D_2_Day_1_LT,8,CPC,D,C,Day_1,Neap,LT,50.78,0.68,-0.0155,3.6e-05,0.15,0.15,0.0798,0.0614,0.07405262995676873,52472.66666666667,False,-0.012652629956768725,0.012652629956768725,0.00016008904482292137
8_D_2_Day_2_HT,8,CPC,D,C,Day_2,Spring,HT,50.78,0.73,0.0187,4.7e-05,0.15,0.15,0.0497,0.0382,0.033584307788689434,63305.73333333334,False,0.004615692211310564,0.004615692211310564,2.1304614589553005e-05
8_D_2_Day_2_LT,8,CPC,D,C,Day_2,Spring,LT,50.78,0.68,-0.0117,2.7e-05,0.15,0.15,0.0826,0.0635,0.0802487393278587,39608.4,False,-0.016748739327858697,0.016748739327858697,0.0002805202690725606
8_D_2_Day_3_HT,8,CPC,D,C,Day_3,Spring,HT,50.78,0.73,0.0178,4.4e-05,0.15,0.15,0.0939,0.0722,0.06016305832690705,60258.933333333334,False,0.012036941673092952,0.012036941673092952,0.00014488796484144175
8_D_2_Day_3_LT,8,CPC,D,C,Day_3,Spring,LT,50.78,0.68,-0.0136,3.2e-05,0.15,0.15,0.0732,0.0563,0.06537892878252392,46040.53333333333,False,-0.00907892878252392,0.00907892878252392,8.242694783814128e-05
8_E_2_Day_1_HT,8,CPC,E,D,Day_1,Neap,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.005546234503513207,93699.19999999998,False,0.08595376549648678,0.08595376549648678,0.007388049803025042
8_E_2_Day_1_LT,8,CPC,E,D,Day_1,Neap,LT,78.96,0.66,-0.0122,2.8e-05,0.15,0.15,0.0979,0.0753,0.09344044824929959,64220.799999999996,False,-0.018140448249299584,0.018140448249299584,0.00032907586268551636
8_E_2_Day_2_HT,8,CPC,E,D,Day_2,Spring,HT,78.96,0.73,0.0162,4e-05,0.15,0.15,0.0567,0.0436,0.020961906425234968,85276.79999999999,False,0.022638093574765032,0.022638093574765032,0.0005124832806998179
