Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Is_Seed_Node,Residual,Abs_Error,Squared_Error
15_J_2_Day_1_HT,15,LC,J,I,Day_1,Neap,HT,64.2,1.0,0.0227,7.8e-05,0.06027,0.0574,0.06447161898615165,False,-0.007071618986151655,0.007071618986151655,5.000779508530056e-05
15_J_2_Day_1_LT,15,LC,J,I,Day_1,Neap,LT,64.2,0.93,-0.0238,7.6e-05,0.04515,0.043,0.04842320587425828,False,-0.005423205874258284,0.005423205874258284,2.941116195458956e-05
15_J_2_Day_2_HT,15,LC,J,I,Day_2,Spring,HT,64.2,1.0,0.0244,8.3e-05,0.05177,0.0493,0.0526967048400555,False,-0.0033967048400555047,0.0033967048400555047,1.1537603770456493e-05
15_J_2_Day_2_LT,15,LC,J,I,Day_2,Spring,LT,64.2,0.93,-0.016,5.1e-05,0.05019,0.0478,0.053409836241166506,False,-0.005609836241166503,0.005609836241166503,3.147026265270512e-05
15_J_2_Day_3_HT,15,LC,J,I,Day_3,Spring,HT,64.2,1.0,0.0172,5.9e-05,0.00651,0.0062,0.006832060413586733,False,-0.0006320604135867328,0.0006320604135867328,3.9950036642343177e-07
15_J_2_Day_3_LT,15,LC,J,I,Day_3,Spring,LT,64.2,0.93,-0.0221,7e-05,0.09324,0.0888,0.09610856455536766,False,-0.007308564555367658,0.007308564555367658,5.3415115859976455e-05
15_K_2_Day_1_HT,15,LC,K,J,Day_1,Neap,HT,72.43,0.62,0.0132,2.8e-05,0.04022,0.0383,0.0736112059650505,False,-0.035311205965050496,0.035311205965050496,0.0012468812667062177
15_K_2_Day_1_LT,15,LC,K,J,Day_1,Neap,LT,72.43,0.58,-0.0109,2.2e-05,0.05849,0.0557,0.06710603298942522,False,-0.011406032989425219,0.011406032989425219,0.0001300975885558564
15_K_2_Day_2_HT,15,LC,K,J,Day_2,Spring,HT,72.43,0.62,0.0151,3.2e-05,0.04022,0.0383,0.06064839709567908,False,-0.02234839709567908,0.02234839709567908,0.0004994508527461572
15_K_2_Day_2_LT,15,LC,K,J,Day_2,Spring,LT,72.43,0.58,-0.0109,2.2e-05,0.02688,0.0256,0.061995823467285285,False,-0.03639582346728529,0.03639582346728529,0.0013246559658617945
15_K_2_Day_3_HT,15,LC,K,J,Day_3,Spring,HT,72.43,0.62,0.0135,2.9e-05,0.04116,0.0392,0.016559395090866496,False,0.022640604909133503,0.022640604909133503,0.00051259699065148
15_K_2_Day_3_LT,15,LC,K,J,Day_3,Spring,LT,72.43,0.58,-0.0126,2.5e-05,0.0357,0.034,0.1051881172520835,False,-0.0711881172520835,0.0711881172520835,0.005067748037896389
